CPU Time;Module;Clockticks;Instructions Retired;CPI Rate;Light Operations;Heavy Operations;Front-End Latency;Front-End Bandwidth MITE;Front-End Bandwidth DSB;(Info) DSB Coverage;(Info) DSB Misses;Bad Speculation;Back-End Bound;Average CPU Frequency;Function (Full);Source File;Start Address
0;dxgkrnl.sys;3600000;3600000;1;0.5;0;0;0;0;0;0;0;0;;DxgkLock2;[Unknown];0x1c01020b0
0.00542169;dxgkrnl.sys;9000000;5400000;1.66667;0.3;0;0;0;0;0;0;0;1;1.66e+09;DxgkPresent;[Unknown];0x1c0101470
0.000903615;dxgkrnl.sys;0;0;0;0;0;0;0;0;0;0;0;1;0;DxgkQueryResourceInfo;[Unknown];0x1c01177c0
0.00271085;dxgkrnl.sys;1800000;0;;0;0;0;0;0;0;0;0;1;6.63999e+08;DxgkSignalSynchronizationObjectFromGpu;[Unknown];0x1c0294780
0.000903615;dxgkrnl.sys;7200000;0;;0;0;0;0;0;0;0;0;1;7.96799e+09;DxgkSubmitCommand;[Unknown];0x1c00f1660
0.00722892;dxgkrnl.sys;10800000;0;;0;0;0;0;0;0;0;0;0;1.494e+09;DxgkUnlock2;[Unknown];0x1c0102690
0;win32kfull.sys;0;0;0;0;0;0;0;0;0;0;0;1;0;EditionPostKeyboardInputMessage;[Unknown];0x1c01032b0
0.000903615;win32k.sys;5400000;0;;0;0;0;0;0;0;0;0;1;5.976e+09;EngAcquireSemaphore;[Unknown];0xfffff97fff003920
0;win32kbase.sys;0;0;0;0;0;0;0;0;0;0;0;1;0;EngAcquireSemaphore;[Unknown];0x1c003a130
0.000903615;win32k.sys;5400000;0;;0;0;0;0;0;0;0;0;1;5.976e+09;EngReleaseSemaphore;[Unknown];0xfffff97fff004390
0.00813254;win32kbase.sys;5400000;1800000;3;0.166667;0;0;0;0;0;0;0;0;6.63999e+08;EnterCrit;[Unknown];0x1c002fe90
0;win32kbase.sys;7200000;0;;0;0;0;0;0;0;0;0;1;;EnterSharedCrit;[Unknown];0x1c00371a0
0.00722892;ucrtbase.dll;19800000;9000000;2.2;0.227273;0;0;1;0;0;0;1;0;2.739e+09;errno;[Unknown];0x180013440
0;win32kbase.sys;1800000;0;;0;0;0;0;0;0;0;0;1;;EtwDirtyRectUpdate;[Unknown];0x1c0088430
0;ntdll.dll;1800000;0;;0;0;0;0;0;0;0;0;1;;EtwNotificationUnregister;[Unknown];0x1800514f0
0.000903615;ntdll.dll;0;0;0;0;0;0;0;0;0;0;0;1;0;EtwRegisterTraceGuidsW;[Unknown];0x180042a10
0.00180723;win32kbase.sys;1800000;0;;0;0;0;0;0;0;0;0;1;9.95999e+08;EtwTraceGreLockAcquireSemaphoreShared;[Unknown];0x1c0082250
0.000903615;win32kbase.sys;1800000;1800000;1;0.5;0;0;0;0;0;0;0;1;1.992e+09;EtwTraceGreLockReleaseSemaphore;[Unknown];0x1c007c750
0;win32kbase.sys;0;0;0;0;0;0;0;0;0;0;0;1;0;EtwTraceLifetimeAccum;[Unknown];0x1c00823e0
0.0153615;ntoskrnl.exe;16200000;19800000;0.818182;0.611111;0;0;0;0;0;0;0;1;1.05459e+09;EtwWriteEx;[Unknown];0x1402394e0
0;ntoskrnl.exe;1800000;1800000;1;0.5;0;0;0;0;0;0;0;1;;EtwWriteTransfer;[Unknown];0x1402394a0
0.00271085;ntoskrnl.exe;7200000;21600000;0.333333;1;0;0;0;0;0;0;0;1;2.656e+09;ExAcquireCacheAwarePushLockSharedEx;[Unknown];0x14022dd30
0.00451808;ntoskrnl.exe;1800000;1800000;1;0.5;0;0;0;0;0;0;0;1;3.984e+08;ExAcquireFastMutex;[Unknown];0x14022d9c0
0.0506024;ntoskrnl.exe;55800000;99000000;0.563636;0.887097;0;1;1;0;0;0;0.555556;0;1.10271e+09;ExAcquirePushLockExclusiveEx;[Unknown];0x14022e2d0
0.0162651;ntoskrnl.exe;45000000;41400000;1.08696;0.46;0;0;1;0;0;1;0.68889;0;2.76666e+09;ExAcquirePushLockSharedEx;[Unknown];0x14022e490
0.00180723;ntoskrnl.exe;3600000;5400000;0.666667;0.75;0;0;0;0;0;0;0;1;1.992e+09;ExAcquireResourceExclusiveLite;[Unknown];0x14022f500
0.00271085;ntoskrnl.exe;3600000;5400000;0.666667;0.75;0;0;0;0;0;0;0;1;1.328e+09;ExAcquireResourceSharedLite;[Unknown];0x14022f8c0
0.00361446;ntoskrnl.exe;16200000;1800000;9;0.0555556;0;0;0;0;0;0;0;1;4.482e+09;ExAcquireRundownProtection;[Unknown];0x1402f9640
